model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,4,,60,1.0,,"[0.1568, 0.0004]","[0.1037, 0.0004]","[0.0976, 0.0003]","[0.0928, 0.0003]","[0.1122, 0.0005]","[0.0754, 0.0002]","[0.0851, 0.0003]","[0.0791, 0.0004]","[0.1074, 0.0005]","[0.1321, 0.0005]","[0.045, 0.0003]","[0.2365, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,4,,60,1.1,,"[0.1531, 0.0004]","[0.1012, 0.0004]","[0.0953, 0.0003]","[0.0906, 0.0003]","[0.1104, 0.0005]","[0.074, 0.0002]","[0.0826, 0.0003]","[0.076, 0.0004]","[0.1036, 0.0005]","[0.1274, 0.0005]","[0.0435, 0.0003]","[0.2313, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0001,4,,60,0.9,,"[0.1547, 0.0004]","[0.104, 0.0004]","[0.0978, 0.0003]","[0.0929, 0.0003]","[0.113, 0.0005]","[0.0753, 0.0002]","[0.0862, 0.0003]","[0.0774, 0.0004]","[0.105, 0.0005]","[0.1286, 0.0005]","[0.0446, 0.0003]","[0.229, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,5,,60,0.9,,"[0.1534, 0.0004]","[0.1032, 0.0004]","[0.0971, 0.0003]","[0.0923, 0.0003]","[0.1118, 0.0005]","[0.0751, 0.0002]","[0.0853, 0.0003]","[0.0767, 0.0004]","[0.1039, 0.0005]","[0.1273, 0.0005]","[0.0439, 0.0003]","[0.2278, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,5,,60,1.0,,"[0.1522, 0.0004]","[0.1004, 0.0004]","[0.0946, 0.0003]","[0.0901, 0.0003]","[0.109, 0.0005]","[0.0736, 0.0002]","[0.0833, 0.0003]","[0.0764, 0.0004]","[0.1037, 0.0005]","[0.1274, 0.0005]","[0.0439, 0.0003]","[0.2282, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,5,,60,1.1,,"[0.1519, 0.0004]","[0.1004, 0.0004]","[0.0944, 0.0003]","[0.0898, 0.0003]","[0.1096, 0.0005]","[0.0734, 0.0002]","[0.0829, 0.0003]","[0.0757, 0.0004]","[0.1026, 0.0005]","[0.1261, 0.0005]","[0.0438, 0.0003]","[0.2284, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,5,,60,0.9,,"[0.1493, 0.0004]","[0.1022, 0.0004]","[0.0959, 0.0003]","[0.091, 0.0003]","[0.1116, 0.0005]","[0.0738, 0.0002]","[0.0833, 0.0003]","[0.0731, 0.0004]","[0.0992, 0.0004]","[0.1218, 0.0005]","[0.042, 0.0003]","[0.2206, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,1,,60,0.9,,"[0.1647, 0.0004]","[0.1092, 0.0004]","[0.1026, 0.0003]","[0.0974, 0.0003]","[0.1188, 0.0005]","[0.0784, 0.0002]","[0.0895, 0.0003]","[0.0816, 0.0004]","[0.1116, 0.0005]","[0.1375, 0.0005]","[0.0465, 0.0003]","[0.2475, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,1,,60,1.0,,"[0.1672, 0.0004]","[0.1095, 0.0004]","[0.103, 0.0003]","[0.0979, 0.0003]","[0.119, 0.0005]","[0.079, 0.0002]","[0.0906, 0.0003]","[0.0835, 0.0004]","[0.1138, 0.0005]","[0.1404, 0.0005]","[0.048, 0.0003]","[0.2523, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,1,,60,1.1,,"[0.1673, 0.0004]","[0.1073, 0.0004]","[0.1013, 0.0003]","[0.0968, 0.0003]","[0.1172, 0.0005]","[0.0792, 0.0002]","[0.0894, 0.0003]","[0.0823, 0.0004]","[0.1123, 0.0005]","[0.1393, 0.0005]","[0.0479, 0.0003]","[0.2552, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,1,,60,0.9,,"[0.1635, 0.0004]","[0.1072, 0.0004]","[0.1011, 0.0003]","[0.0963, 0.0003]","[0.1162, 0.0005]","[0.0782, 0.0002]","[0.0886, 0.0003]","[0.081, 0.0004]","[0.1105, 0.0005]","[0.1365, 0.0005]","[0.0462, 0.0003]","[0.2473, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,4,,40,0.9,,"[0.1517, 0.0004]","[0.1008, 0.0004]","[0.095, 0.0003]","[0.0904, 0.0003]","[0.1096, 0.0005]","[0.0741, 0.0002]","[0.0831, 0.0003]","[0.0744, 0.0004]","[0.1015, 0.0005]","[0.125, 0.0005]","[0.0427, 0.0003]","[0.2276, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,4,,40,1.0,,"[0.1499, 0.0004]","[0.101, 0.0004]","[0.095, 0.0003]","[0.0901, 0.0003]","[0.1097, 0.0005]","[0.0732, 0.0002]","[0.0828, 0.0003]","[0.0754, 0.0004]","[0.1022, 0.0005]","[0.1251, 0.0005]","[0.043, 0.0003]","[0.2232, 0.0006]"
