model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,80,0.9,,"[0.1515, 0.0004]","[0.1032, 0.0004]","[0.0965, 0.0003]","[0.0915, 0.0003]","[0.113, 0.0005]","[0.0737, 0.0002]","[0.0847, 0.0003]","[0.0766, 0.0004]","[0.1028, 0.0005]","[0.1256, 0.0005]","[0.0444, 0.0003]","[0.2227, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,80,1.0,,"[0.1547, 0.0004]","[0.1038, 0.0004]","[0.0974, 0.0003]","[0.0924, 0.0003]","[0.1133, 0.0005]","[0.0748, 0.0002]","[0.0861, 0.0003]","[0.0778, 0.0004]","[0.105, 0.0005]","[0.1284, 0.0005]","[0.0452, 0.0003]","[0.2284, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,4,,80,1.1,,"[0.156, 0.0004]","[0.104, 0.0004]","[0.0975, 0.0003]","[0.0925, 0.0003]","[0.1142, 0.0005]","[0.0749, 0.0002]","[0.0859, 0.0003]","[0.0788, 0.0004]","[0.1064, 0.0005]","[0.1302, 0.0005]","[0.046, 0.0003]","[0.2321, 0.0006]"
