model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,60,0.9,,"[0.1576, 0.0004]","[0.1065, 0.0004]","[0.0997, 0.0003]","[0.0944, 0.0003]","[0.1164, 0.0005]","[0.0759, 0.0002]","[0.0877, 0.0003]","[0.0797, 0.0004]","[0.1078, 0.0005]","[0.1318, 0.0005]","[0.0458, 0.0003]","[0.2332, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,60,1.0,,"[0.1607, 0.0004]","[0.1078, 0.0004]","[0.101, 0.0003]","[0.0958, 0.0003]","[0.1179, 0.0005]","[0.0771, 0.0002]","[0.0888, 0.0003]","[0.081, 0.0004]","[0.1097, 0.0005]","[0.1344, 0.0005]","[0.0467, 0.0003]","[0.2389, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,2,,60,1.1,,"[0.163, 0.0004]","[0.1072, 0.0004]","[0.1008, 0.0003]","[0.0959, 0.0003]","[0.1169, 0.0005]","[0.0776, 0.0002]","[0.0885, 0.0003]","[0.0818, 0.0004]","[0.1114, 0.0005]","[0.1372, 0.0005]","[0.047, 0.0003]","[0.2457, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,2,,60,0.9,,"[0.161, 0.0004]","[0.1086, 0.0004]","[0.1016, 0.0003]","[0.0962, 0.0003]","[0.1187, 0.0005]","[0.0773, 0.0002]","[0.0896, 0.0003]","[0.0813, 0.0004]","[0.1096, 0.0005]","[0.1341, 0.0005]","[0.0469, 0.0003]","[0.2377, 0.0006]"
