model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,60,0.9,,"[0.1487, 0.0004]","[0.1033, 0.0004]","[0.0965, 0.0003]","[0.0913, 0.0003]","[0.1133, 0.0005]","[0.0734, 0.0002]","[0.0842, 0.0003]","[0.0741, 0.0004]","[0.0996, 0.0004]","[0.1215, 0.0005]","[0.0432, 0.0003]","[0.216, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,60,1.0,,"[0.1567, 0.0004]","[0.1034, 0.0004]","[0.0973, 0.0003]","[0.0925, 0.0003]","[0.1123, 0.0005]","[0.0752, 0.0002]","[0.0853, 0.0003]","[0.0788, 0.0004]","[0.1072, 0.0005]","[0.1315, 0.0005]","[0.0451, 0.0003]","[0.2357, 0.0006]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,3,,60,1.1,,"[0.1547, 0.0004]","[0.1032, 0.0004]","[0.0967, 0.0003]","[0.0918, 0.0003]","[0.1132, 0.0005]","[0.0743, 0.0002]","[0.0844, 0.0003]","[0.0779, 0.0004]","[0.1053, 0.0005]","[0.1292, 0.0005]","[0.045, 0.0003]","[0.2316, 0.0007]"
