model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,1,,40,0.9,,"[0.1629, 0.0004]","[0.1061, 0.0004]","[0.1001, 0.0003]","[0.0953, 0.0003]","[0.1154, 0.0005]","[0.0772, 0.0002]","[0.0876, 0.0003]","[0.081, 0.0004]","[0.1107, 0.0005]","[0.137, 0.0005]","[0.0465, 0.0003]","[0.2474, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,1,,40,1.0,,"[0.1638, 0.0004]","[0.1068, 0.0004]","[0.1005, 0.0003]","[0.0957, 0.0003]","[0.1159, 0.0005]","[0.0777, 0.0002]","[0.0883, 0.0003]","[0.0816, 0.0004]","[0.1111, 0.0005]","[0.1373, 0.0005]","[0.047, 0.0003]","[0.2485, 0.0007]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,1,,40,1.1,,"[0.1614, 0.0004]","[0.1026, 0.0004]","[0.0973, 0.0003]","[0.0933, 0.0003]","[0.1112, 0.0005]","[0.0772, 0.0002]","[0.0854, 0.0003]","[0.0788, 0.0004]","[0.1083, 0.0005]","[0.1347, 0.0006]","[0.0453, 0.0003]","[0.2489, 0.0007]"
