lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
1e-05,0.0001,3,50,0.6,"[0.0805, 0.0015]","[0.0134, 0.0003]","[0.0114, 0.0002]","[0.0101, 0.0002]","[0.017, 0.0005]","[0.0065, 0.0001]","[0.0243, 0.0011]","[0.087, 0.0021]","[0.1103, 0.0024]","[0.1295, 0.0026]","[0.0563, 0.0017]","[0.201, 0.003]"
1e-05,0.001,3,50,0.6,"[0.0825, 0.0015]","[0.0137, 0.0003]","[0.0115, 0.0002]","[0.0102, 0.0002]","[0.0175, 0.0005]","[0.0065, 0.0001]","[0.0259, 0.0012]","[0.089, 0.0022]","[0.1115, 0.0024]","[0.131, 0.0026]","[0.0583, 0.0018]","[0.2039, 0.0031]"
1e-05,0.0001,5,50,0.6,"[0.0796, 0.0015]","[0.0134, 0.0003]","[0.0114, 0.0002]","[0.01, 0.0002]","[0.0171, 0.0005]","[0.0063, 0.0001]","[0.0249, 0.0011]","[0.087, 0.0021]","[0.1093, 0.0024]","[0.127, 0.0025]","[0.0566, 0.0018]","[0.196, 0.003]"
1e-05,0.001,5,50,0.6,"[0.0801, 0.0015]","[0.0133, 0.0003]","[0.0113, 0.0002]","[0.01, 0.0002]","[0.0173, 0.0005]","[0.0064, 0.0001]","[0.0253, 0.0011]","[0.0864, 0.0021]","[0.1091, 0.0024]","[0.1275, 0.0025]","[0.0571, 0.0018]","[0.1979, 0.003]"
1e-05,0.0001,7,50,0.6,"[0.0798, 0.0015]","[0.0136, 0.0003]","[0.0113, 0.0002]","[0.0099, 0.0002]","[0.0177, 0.0005]","[0.0062, 0.0001]","[0.0265, 0.0012]","[0.0881, 0.0022]","[0.1088, 0.0024]","[0.126, 0.0025]","[0.0581, 0.0018]","[0.1925, 0.003]"
1e-05,0.001,7,50,0.6,"[0.0781, 0.0015]","[0.0131, 0.0003]","[0.0111, 0.0002]","[0.0098, 0.0002]","[0.017, 0.0005]","[0.0062, 0.0001]","[0.0246, 0.0011]","[0.0847, 0.0021]","[0.107, 0.0023]","[0.1253, 0.0025]","[0.0561, 0.0017]","[0.1925, 0.003]"
1e-05,0.0001,3,100,0.6,"[0.0871, 0.0015]","[0.0145, 0.0003]","[0.0122, 0.0002]","[0.0109, 0.0002]","[0.0185, 0.0005]","[0.007, 0.0001]","[0.0268, 0.0012]","[0.0944, 0.0022]","[0.1185, 0.0025]","[0.1395, 0.0026]","[0.0612, 0.0018]","[0.217, 0.0031]"
1e-05,0.001,3,100,0.6,"[0.0874, 0.0015]","[0.0147, 0.0003]","[0.0124, 0.0002]","[0.0109, 0.0002]","[0.0186, 0.0005]","[0.007, 0.0001]","[0.0274, 0.0012]","[0.0954, 0.0022]","[0.1196, 0.0025]","[0.1405, 0.0026]","[0.0616, 0.0018]","[0.2167, 0.0031]"
1e-05,0.0001,5,100,0.6,"[0.0869, 0.0015]","[0.0146, 0.0003]","[0.0123, 0.0002]","[0.0109, 0.0002]","[0.0188, 0.0005]","[0.0069, 0.0001]","[0.0277, 0.0012]","[0.0946, 0.0022]","[0.1185, 0.0025]","[0.1388, 0.0026]","[0.062, 0.0018]","[0.2138, 0.0031]"
1e-05,0.001,5,100,0.6,"[0.0864, 0.0015]","[0.0144, 0.0003]","[0.0122, 0.0002]","[0.0108, 0.0002]","[0.0185, 0.0005]","[0.0069, 0.0001]","[0.0275, 0.0012]","[0.0937, 0.0022]","[0.1177, 0.0024]","[0.138, 0.0026]","[0.061, 0.0018]","[0.2135, 0.0031]"
1e-05,0.0001,7,100,0.6,"[0.0866, 0.0015]","[0.0144, 0.0003]","[0.0122, 0.0002]","[0.0108, 0.0002]","[0.0188, 0.0005]","[0.0068, 0.0001]","[0.0285, 0.0012]","[0.0935, 0.0022]","[0.117, 0.0024]","[0.1369, 0.0026]","[0.0619, 0.0018]","[0.2102, 0.0031]"
1e-05,0.001,7,100,0.6,"[0.0854, 0.0015]","[0.0143, 0.0003]","[0.0122, 0.0002]","[0.0107, 0.0002]","[0.0185, 0.0005]","[0.0068, 0.0001]","[0.0274, 0.0012]","[0.0924, 0.0022]","[0.1171, 0.0024]","[0.1365, 0.0026]","[0.0609, 0.0018]","[0.2096, 0.0031]"
1e-05,0.0001,3,200,0.6,"[0.0901, 0.0015]","[0.015, 0.0003]","[0.0128, 0.0003]","[0.0113, 0.0002]","[0.0189, 0.0005]","[0.0072, 0.0001]","[0.0277, 0.0012]","[0.0977, 0.0023]","[0.1238, 0.0025]","[0.1446, 0.0027]","[0.0623, 0.0018]","[0.2253, 0.0032]"
1e-05,0.001,3,200,0.6,"[0.0903, 0.0015]","[0.0149, 0.0003]","[0.0127, 0.0003]","[0.0113, 0.0002]","[0.019, 0.0005]","[0.0072, 0.0001]","[0.0278, 0.0012]","[0.0973, 0.0023]","[0.1228, 0.0025]","[0.1447, 0.0027]","[0.063, 0.0018]","[0.2258, 0.0032]"
1e-05,0.0001,5,200,0.6,"[0.0908, 0.0016]","[0.0151, 0.0003]","[0.0128, 0.0003]","[0.0113, 0.0002]","[0.0194, 0.0005]","[0.0072, 0.0001]","[0.0288, 0.0012]","[0.0978, 0.0023]","[0.124, 0.0025]","[0.1444, 0.0027]","[0.0638, 0.0019]","[0.224, 0.0032]"
1e-05,0.001,5,200,0.6,"[0.0897, 0.0015]","[0.015, 0.0003]","[0.0127, 0.0003]","[0.0113, 0.0002]","[0.0192, 0.0005]","[0.0072, 0.0001]","[0.0274, 0.0012]","[0.0975, 0.0023]","[0.1228, 0.0025]","[0.1438, 0.0027]","[0.0631, 0.0018]","[0.2236, 0.0032]"
1e-05,0.0001,7,200,0.6,"[0.0897, 0.0016]","[0.015, 0.0003]","[0.0127, 0.0003]","[0.0113, 0.0002]","[0.0193, 0.0005]","[0.0071, 0.0001]","[0.0288, 0.0012]","[0.0972, 0.0023]","[0.1219, 0.0025]","[0.1433, 0.0027]","[0.0634, 0.0019]","[0.2199, 0.0031]"
1e-05,0.001,7,200,0.6,"[0.0874, 0.0015]","[0.0146, 0.0003]","[0.0123, 0.0002]","[0.0109, 0.0002]","[0.0188, 0.0005]","[0.0069, 0.0001]","[0.0283, 0.0012]","[0.0942, 0.0022]","[0.1182, 0.0025]","[0.1378, 0.0026]","[0.0617, 0.0018]","[0.2142, 0.0031]"
