lam,lr,kfac,dfac,beta,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
0.0001,0.01,3,50,0.2,"[0.0782, 0.0029]","[0.0136, 0.0006]","[0.011, 0.0004]","[0.0095, 0.0004]","[0.0194, 0.001]","[0.0057, 0.0002]","[0.0325, 0.0024]","[0.0853, 0.0039]","[0.1015, 0.0042]","[0.1154, 0.0044]","[0.0623, 0.0034]","[0.1662, 0.0051]"
0.0001,0.005,3,50,0.2,"[0.0793, 0.0029]","[0.0138, 0.0006]","[0.0111, 0.0004]","[0.0096, 0.0004]","[0.0196, 0.001]","[0.0058, 0.0002]","[0.0337, 0.0024]","[0.0862, 0.0039]","[0.1023, 0.0042]","[0.1162, 0.0044]","[0.0624, 0.0034]","[0.1688, 0.0051]"
0.0001,0.01,5,50,0.2,"[0.0777, 0.0029]","[0.0135, 0.0006]","[0.0109, 0.0004]","[0.0094, 0.0004]","[0.0192, 0.001]","[0.0057, 0.0002]","[0.0336, 0.0024]","[0.0842, 0.0038]","[0.1003, 0.0041]","[0.1137, 0.0044]","[0.0619, 0.0033]","[0.1644, 0.0051]"
0.0001,0.005,5,50,0.2,"[0.0794, 0.0029]","[0.0139, 0.0006]","[0.0111, 0.0004]","[0.0095, 0.0004]","[0.0196, 0.001]","[0.0057, 0.0002]","[0.0342, 0.0024]","[0.087, 0.0039]","[0.1028, 0.0042]","[0.1153, 0.0044]","[0.063, 0.0034]","[0.1674, 0.0051]"
0.0001,0.01,7,50,0.2,"[0.0761, 0.0029]","[0.0131, 0.0006]","[0.0106, 0.0004]","[0.0091, 0.0003]","[0.0191, 0.001]","[0.0056, 0.0002]","[0.0324, 0.0023]","[0.0829, 0.0038]","[0.0985, 0.0041]","[0.1106, 0.0043]","[0.0611, 0.0033]","[0.1611, 0.005]"
0.0001,0.005,7,50,0.2,"[0.0773, 0.0029]","[0.0137, 0.0006]","[0.011, 0.0004]","[0.0094, 0.0004]","[0.0195, 0.001]","[0.0057, 0.0002]","[0.0327, 0.0024]","[0.0858, 0.0039]","[0.1014, 0.0042]","[0.1141, 0.0044]","[0.0626, 0.0034]","[0.1641, 0.0051]"
0.0001,0.01,3,100,0.2,"[0.0827, 0.0029]","[0.0145, 0.0006]","[0.0119, 0.0005]","[0.0102, 0.0004]","[0.0204, 0.001]","[0.0062, 0.0002]","[0.0331, 0.0024]","[0.0898, 0.0039]","[0.109, 0.0043]","[0.1231, 0.0045]","[0.0657, 0.0034]","[0.18, 0.0053]"
0.0001,0.005,3,100,0.2,"[0.0843, 0.003]","[0.0146, 0.0006]","[0.0118, 0.0005]","[0.0102, 0.0004]","[0.0204, 0.001]","[0.0062, 0.0002]","[0.0357, 0.0025]","[0.0906, 0.004]","[0.1086, 0.0043]","[0.1234, 0.0045]","[0.0658, 0.0034]","[0.1811, 0.0053]"
0.0001,0.01,5,100,0.2,"[0.0822, 0.0029]","[0.0145, 0.0006]","[0.0116, 0.0005]","[0.01, 0.0004]","[0.0203, 0.001]","[0.0061, 0.0002]","[0.0338, 0.0024]","[0.0901, 0.004]","[0.1062, 0.0043]","[0.1208, 0.0045]","[0.0647, 0.0034]","[0.176, 0.0052]"
0.0001,0.005,5,100,0.2,"[0.0848, 0.003]","[0.0146, 0.0006]","[0.0118, 0.0005]","[0.0102, 0.0004]","[0.0207, 0.001]","[0.0062, 0.0002]","[0.0366, 0.0025]","[0.0921, 0.004]","[0.1096, 0.0043]","[0.1241, 0.0046]","[0.067, 0.0035]","[0.1793, 0.0053]"
