model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,1,,40,1.0,,"[0.0337, 0.0017]","[0.0056, 0.0004]","[0.0048, 0.0003]","[0.0044, 0.0002]","[0.0075, 0.0006]","[0.0032, 0.0001]","[0.0108, 0.0013]","[0.0305, 0.0023]","[0.0391, 0.0026]","[0.0478, 0.0028]","[0.0215, 0.0019]","[0.0835, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0001,1,,40,1.0,,"[0.0334, 0.0017]","[0.0057, 0.0004]","[0.0049, 0.0003]","[0.0044, 0.0002]","[0.0076, 0.0006]","[0.0032, 0.0001]","[0.0105, 0.0012]","[0.0308, 0.0023]","[0.0394, 0.0026]","[0.0473, 0.0028]","[0.021, 0.0019]","[0.0839, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0005,1,,40,1.0,,"[0.0376, 0.0018]","[0.0062, 0.0004]","[0.0055, 0.0003]","[0.005, 0.0003]","[0.0078, 0.0006]","[0.0036, 0.0001]","[0.0113, 0.0013]","[0.0341, 0.0024]","[0.0445, 0.0027]","[0.0543, 0.003]","[0.0222, 0.002]","[0.0958, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,5e-05,1,,40,1.0,,"[0.0329, 0.0017]","[0.0055, 0.0004]","[0.0049, 0.0003]","[0.0044, 0.0002]","[0.0071, 0.0006]","[0.0031, 0.0001]","[0.0107, 0.0013]","[0.0306, 0.0023]","[0.0404, 0.0026]","[0.0479, 0.0028]","[0.0202, 0.0019]","[0.0818, 0.0036]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,0.0001,1,,40,1.0,,"[0.0333, 0.0017]","[0.0058, 0.0004]","[0.005, 0.0003]","[0.0045, 0.0002]","[0.0072, 0.0006]","[0.0032, 0.0001]","[0.01, 0.0012]","[0.032, 0.0023]","[0.0409, 0.0026]","[0.0485, 0.0028]","[0.0204, 0.0019]","[0.0843, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,0.0005,1,,40,1.0,,"[0.0374, 0.0018]","[0.0064, 0.0004]","[0.0056, 0.0003]","[0.0051, 0.0003]","[0.0082, 0.0006]","[0.0035, 0.0001]","[0.0114, 0.0013]","[0.0349, 0.0024]","[0.0456, 0.0028]","[0.0543, 0.003]","[0.0231, 0.002]","[0.0935, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,5,1e-05,5e-05,1,,40,1.0,,"[0.0342, 0.0018]","[0.0058, 0.0004]","[0.005, 0.0003]","[0.0046, 0.0002]","[0.0077, 0.0006]","[0.0032, 0.0001]","[0.011, 0.0013]","[0.032, 0.0023]","[0.0412, 0.0026]","[0.0496, 0.0029]","[0.0221, 0.002]","[0.0845, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,1e-05,0.0001,1,,40,1.0,,"[0.0328, 0.0017]","[0.0054, 0.0004]","[0.0047, 0.0003]","[0.0043, 0.0002]","[0.007, 0.0006]","[0.0031, 0.0001]","[0.0104, 0.0013]","[0.0302, 0.0023]","[0.0383, 0.0025]","[0.0477, 0.0028]","[0.0199, 0.0019]","[0.0833, 0.0037]"
