model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,4,0.001,5e-05,1,,80,1.0,,"[0.0404, 0.0019]","[0.0073, 0.0004]","[0.0061, 0.0003]","[0.0054, 0.0003]","[0.0096, 0.0007]","[0.0036, 0.0001]","[0.0147, 0.0015]","[0.0399, 0.0026]","[0.0491, 0.0029]","[0.0587, 0.0031]","[0.027, 0.0022]","[0.0949, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0001,1,,80,1.0,,"[0.0382, 0.0019]","[0.0068, 0.0004]","[0.0057, 0.0003]","[0.005, 0.0003]","[0.0092, 0.0007]","[0.0034, 0.0001]","[0.014, 0.0015]","[0.0369, 0.0025]","[0.0469, 0.0028]","[0.0542, 0.003]","[0.0253, 0.0021]","[0.089, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,4,0.001,0.0005,1,,80,1.0,,"[0.0401, 0.0019]","[0.0072, 0.0004]","[0.006, 0.0003]","[0.0054, 0.0003]","[0.0093, 0.0007]","[0.0035, 0.0001]","[0.0138, 0.0015]","[0.0405, 0.0026]","[0.0498, 0.0029]","[0.0592, 0.0031]","[0.0264, 0.0021]","[0.0962, 0.004]"
