model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,1,,60,1.0,,"[0.036, 0.0018]","[0.0066, 0.0004]","[0.0056, 0.0003]","[0.0049, 0.0003]","[0.0086, 0.0007]","[0.0032, 0.0001]","[0.0117, 0.0013]","[0.0364, 0.0025]","[0.0457, 0.0028]","[0.0527, 0.003]","[0.024, 0.002]","[0.086, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,1,,60,1.0,,"[0.0363, 0.0018]","[0.0064, 0.0004]","[0.0054, 0.0003]","[0.0049, 0.0003]","[0.0084, 0.0007]","[0.0033, 0.0001]","[0.0127, 0.0014]","[0.0352, 0.0024]","[0.044, 0.0027]","[0.0525, 0.003]","[0.0239, 0.002]","[0.0869, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0005,1,,60,1.0,,"[0.0395, 0.0019]","[0.0071, 0.0004]","[0.0061, 0.0003]","[0.0054, 0.0003]","[0.0092, 0.0007]","[0.0036, 0.0001]","[0.0129, 0.0014]","[0.0391, 0.0026]","[0.0493, 0.0029]","[0.0586, 0.0031]","[0.026, 0.0021]","[0.0963, 0.004]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,5e-05,1,,60,1.0,,"[0.037, 0.0019]","[0.0066, 0.0004]","[0.0056, 0.0003]","[0.005, 0.0003]","[0.0088, 0.0007]","[0.0033, 0.0001]","[0.0132, 0.0014]","[0.0362, 0.0025]","[0.0452, 0.0028]","[0.0533, 0.003]","[0.0246, 0.0021]","[0.0865, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,0.0001,1,,60,1.0,,"[0.0362, 0.0018]","[0.0064, 0.0004]","[0.0055, 0.0003]","[0.0048, 0.0003]","[0.0083, 0.0007]","[0.0033, 0.0001]","[0.0125, 0.0014]","[0.0347, 0.0024]","[0.0446, 0.0027]","[0.0514, 0.0029]","[0.0234, 0.002]","[0.0867, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,0.0005,1,,60,1.0,,"[0.0384, 0.0019]","[0.0068, 0.0004]","[0.0059, 0.0003]","[0.0053, 0.0003]","[0.0086, 0.0007]","[0.0035, 0.0001]","[0.0122, 0.0014]","[0.0377, 0.0025]","[0.0477, 0.0028]","[0.0575, 0.0031]","[0.0242, 0.002]","[0.0948, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,3,1e-05,5e-05,1,,60,1.0,,"[0.0378, 0.0019]","[0.0067, 0.0004]","[0.0057, 0.0003]","[0.005, 0.0003]","[0.0089, 0.0007]","[0.0034, 0.0001]","[0.0136, 0.0014]","[0.0371, 0.0025]","[0.0469, 0.0028]","[0.0547, 0.003]","[0.0249, 0.0021]","[0.09, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,3,1e-05,0.0001,1,,60,1.0,,"[0.0361, 0.0018]","[0.0064, 0.0004]","[0.0054, 0.0003]","[0.0048, 0.0003]","[0.0084, 0.0007]","[0.0032, 0.0001]","[0.0122, 0.0014]","[0.0354, 0.0025]","[0.0441, 0.0027]","[0.052, 0.003]","[0.0236, 0.002]","[0.0865, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,1e-05,0.0005,1,,60,1.0,,"[0.0404, 0.0019]","[0.0071, 0.0004]","[0.0062, 0.0003]","[0.0054, 0.0003]","[0.009, 0.0007]","[0.0036, 0.0001]","[0.0135, 0.0015]","[0.0393, 0.0026]","[0.0502, 0.0029]","[0.0591, 0.0031]","[0.0257, 0.0021]","[0.0982, 0.004]"
