model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,3,0.001,5e-05,1,,80,1.0,,"[0.039, 0.0019]","[0.0071, 0.0004]","[0.0058, 0.0003]","[0.0052, 0.0003]","[0.0096, 0.0007]","[0.0034, 0.0001]","[0.0138, 0.0014]","[0.0391, 0.0026]","[0.0476, 0.0028]","[0.056, 0.0031]","[0.0266, 0.0021]","[0.0918, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0001,1,,80,1.0,,"[0.0378, 0.0019]","[0.0067, 0.0004]","[0.0055, 0.0003]","[0.0049, 0.0003]","[0.009, 0.0007]","[0.0033, 0.0001]","[0.014, 0.0015]","[0.0369, 0.0025]","[0.0452, 0.0028]","[0.0534, 0.003]","[0.0254, 0.0021]","[0.0874, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,3,0.001,0.0005,1,,80,1.0,,"[0.0411, 0.002]","[0.0074, 0.0004]","[0.0061, 0.0003]","[0.0055, 0.0003]","[0.0098, 0.0007]","[0.0036, 0.0001]","[0.0142, 0.0015]","[0.0409, 0.0026]","[0.0502, 0.0029]","[0.0593, 0.0031]","[0.0275, 0.0022]","[0.0976, 0.004]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,5e-05,1,,80,1.0,,"[0.0371, 0.0019]","[0.0066, 0.0004]","[0.0055, 0.0003]","[0.0048, 0.0003]","[0.009, 0.0007]","[0.0032, 0.0001]","[0.0139, 0.0015]","[0.0362, 0.0025]","[0.045, 0.0028]","[0.052, 0.0029]","[0.0251, 0.0021]","[0.085, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,0.0001,1,,80,1.0,,"[0.0367, 0.0019]","[0.0067, 0.0004]","[0.0055, 0.0003]","[0.0048, 0.0003]","[0.009, 0.0007]","[0.0033, 0.0001]","[0.0136, 0.0014]","[0.0361, 0.0025]","[0.0442, 0.0027]","[0.0516, 0.0029]","[0.0243, 0.002]","[0.0861, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,0.0001,0.0005,1,,80,1.0,,"[0.0404, 0.0019]","[0.0074, 0.0004]","[0.0061, 0.0003]","[0.0054, 0.0003]","[0.0098, 0.0007]","[0.0036, 0.0001]","[0.0141, 0.0015]","[0.0407, 0.0026]","[0.0501, 0.0029]","[0.0585, 0.0031]","[0.0273, 0.0022]","[0.0959, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,3,1e-05,5e-05,1,,80,1.0,,"[0.0373, 0.0019]","[0.0066, 0.0004]","[0.0055, 0.0003]","[0.0049, 0.0003]","[0.0089, 0.0007]","[0.0032, 0.0001]","[0.0142, 0.0015]","[0.0365, 0.0025]","[0.0448, 0.0028]","[0.0528, 0.003]","[0.0252, 0.0021]","[0.0859, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,3,1e-05,0.0001,1,,80,1.0,,"[0.0389, 0.002]","[0.0071, 0.0004]","[0.0058, 0.0003]","[0.0051, 0.0003]","[0.0094, 0.0007]","[0.0033, 0.0001]","[0.0149, 0.0015]","[0.039, 0.0026]","[0.0476, 0.0028]","[0.0548, 0.003]","[0.0264, 0.0021]","[0.0894, 0.0038]"
