model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,3,,40,1.0,,"[0.04, 0.0019]","[0.0069, 0.0004]","[0.0059, 0.0003]","[0.0052, 0.0003]","[0.0092, 0.0007]","[0.0036, 0.0001]","[0.0128, 0.0014]","[0.0392, 0.0026]","[0.0501, 0.0029]","[0.059, 0.0032]","[0.0268, 0.0022]","[0.0971, 0.004]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,0.0001,3,,40,1.0,,"[0.0396, 0.0019]","[0.0067, 0.0004]","[0.0057, 0.0003]","[0.0051, 0.0003]","[0.0086, 0.0007]","[0.0035, 0.0001]","[0.0133, 0.0014]","[0.038, 0.0026]","[0.0479, 0.0028]","[0.0573, 0.0031]","[0.025, 0.0021]","[0.0963, 0.004]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,5,,80,1.0,,"[0.0413, 0.002]","[0.0073, 0.0004]","[0.0061, 0.0003]","[0.0053, 0.0003]","[0.0097, 0.0007]","[0.0035, 0.0001]","[0.0147, 0.0015]","[0.0417, 0.0027]","[0.0517, 0.003]","[0.06, 0.0032]","[0.0289, 0.0023]","[0.0959, 0.004]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,5e-05,3,,80,1.0,,"[0.0423, 0.002]","[0.0073, 0.0004]","[0.0061, 0.0003]","[0.0054, 0.0003]","[0.01, 0.0007]","[0.0036, 0.0001]","[0.0158, 0.0016]","[0.0423, 0.0027]","[0.0519, 0.003]","[0.0606, 0.0032]","[0.0293, 0.0023]","[0.0981, 0.004]"
MMP,Cosine,0.0,32,0.2,300,10,5,0.001,0.0001,3,,80,1.0,,"[0.0402, 0.002]","[0.0072, 0.0004]","[0.006, 0.0003]","[0.0052, 0.0003]","[0.0094, 0.0007]","[0.0035, 0.0001]","[0.0141, 0.0015]","[0.0404, 0.0026]","[0.0505, 0.0029]","[0.0583, 0.0031]","[0.0273, 0.0022]","[0.0944, 0.0039]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,5e-05,5,,80,1.0,,"[0.0416, 0.0021]","[0.0071, 0.0004]","[0.0058, 0.0003]","[0.0051, 0.0003]","[0.0095, 0.0007]","[0.0034, 0.0001]","[0.0162, 0.0016]","[0.0417, 0.0027]","[0.0508, 0.003]","[0.0594, 0.0032]","[0.0289, 0.0023]","[0.0942, 0.0039]"
MMP,Cosine,0.0,32,0.2,300,10,4,0.001,0.0001,5,,80,1.0,,"[0.0413, 0.002]","[0.0072, 0.0004]","[0.006, 0.0003]","[0.0053, 0.0003]","[0.01, 0.0007]","[0.0035, 0.0001]","[0.0153, 0.0016]","[0.0411, 0.0027]","[0.0508, 0.0029]","[0.0592, 0.0032]","[0.0295, 0.0023]","[0.095, 0.0039]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,5e-05,1,,60,1.0,,"[0.036, 0.0018]","[0.0066, 0.0004]","[0.0056, 0.0003]","[0.0049, 0.0003]","[0.0086, 0.0007]","[0.0032, 0.0001]","[0.0117, 0.0013]","[0.0364, 0.0025]","[0.0457, 0.0028]","[0.0527, 0.003]","[0.024, 0.002]","[0.086, 0.0037]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,0.0001,1,,60,1.0,,"[0.0363, 0.0018]","[0.0064, 0.0004]","[0.0054, 0.0003]","[0.0049, 0.0003]","[0.0084, 0.0007]","[0.0033, 0.0001]","[0.0127, 0.0014]","[0.0352, 0.0024]","[0.044, 0.0027]","[0.0525, 0.003]","[0.0239, 0.002]","[0.0869, 0.0037]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.001,0.0005,1,,60,1.0,,"[0.0395, 0.0019]","[0.0071, 0.0004]","[0.0061, 0.0003]","[0.0054, 0.0003]","[0.0092, 0.0007]","[0.0036, 0.0001]","[0.0129, 0.0014]","[0.0391, 0.0026]","[0.0493, 0.0029]","[0.0586, 0.0031]","[0.026, 0.0021]","[0.0963, 0.004]"
MMP,Cosine,0.0,32,0.2,300,10,3,0.0001,5e-05,1,,60,1.0,,"[0.037, 0.0019]","[0.0066, 0.0004]","[0.0056, 0.0003]","[0.005, 0.0003]","[0.0088, 0.0007]","[0.0033, 0.0001]","[0.0132, 0.0014]","[0.0362, 0.0025]","[0.0452, 0.0028]","[0.0533, 0.003]","[0.0246, 0.0021]","[0.0865, 0.0037]"
