model,similarity,alpha,batch_size,corruption,epoch,iteration,key_dimension,lambda,learning_rate,mode_dimension,normalize,rank,root,topK,NDCG,Precision@10,Precision@15,Precision@20,Precision@5,Precision@50,R-Precision,Recall@10,Recall@15,Recall@20,Recall@5,Recall@50
MMP,Cosine,0,32,0.2,300,10,5,0.001,5e-05,1,,60,1.0,,"[0.0367, 0.0019]","[0.0065, 0.0004]","[0.0056, 0.0003]","[0.0049, 0.0003]","[0.0084, 0.0007]","[0.0033, 0.0001]","[0.0129, 0.0014]","[0.0355, 0.0024]","[0.0456, 0.0028]","[0.0527, 0.003]","[0.0239, 0.002]","[0.0873, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0001,1,,60,1.0,,"[0.0372, 0.0019]","[0.0065, 0.0004]","[0.0056, 0.0003]","[0.005, 0.0003]","[0.0088, 0.0007]","[0.0034, 0.0001]","[0.0122, 0.0014]","[0.0359, 0.0025]","[0.0459, 0.0028]","[0.0537, 0.003]","[0.0247, 0.0021]","[0.0894, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,5,0.001,0.0005,1,,60,1.0,,"[0.0391, 0.0019]","[0.0068, 0.0004]","[0.0057, 0.0003]","[0.0051, 0.0003]","[0.0088, 0.0007]","[0.0036, 0.0001]","[0.0128, 0.0014]","[0.0376, 0.0025]","[0.0474, 0.0028]","[0.0559, 0.0031]","[0.0251, 0.0021]","[0.0962, 0.004]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,5e-05,1,,60,1.0,,"[0.0371, 0.0019]","[0.0065, 0.0004]","[0.0056, 0.0003]","[0.0049, 0.0003]","[0.0085, 0.0007]","[0.0033, 0.0001]","[0.0132, 0.0014]","[0.0359, 0.0025]","[0.0454, 0.0028]","[0.0536, 0.003]","[0.0241, 0.002]","[0.0876, 0.0038]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,0.0001,1,,60,1.0,,"[0.036, 0.0018]","[0.0064, 0.0004]","[0.0054, 0.0003]","[0.0048, 0.0003]","[0.0083, 0.0006]","[0.0032, 0.0001]","[0.0126, 0.0014]","[0.0347, 0.0024]","[0.0439, 0.0027]","[0.0513, 0.0029]","[0.0233, 0.002]","[0.0856, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,0.0001,0.0005,1,,60,1.0,,"[0.039, 0.0019]","[0.0069, 0.0004]","[0.0059, 0.0003]","[0.0053, 0.0003]","[0.0089, 0.0007]","[0.0036, 0.0001]","[0.0127, 0.0014]","[0.0379, 0.0025]","[0.0482, 0.0029]","[0.0574, 0.0031]","[0.0247, 0.0021]","[0.0957, 0.0039]"
MMP,Cosine,0,32,0.2,300,10,5,1e-05,5e-05,1,,60,1.0,,"[0.0359, 0.0018]","[0.0063, 0.0004]","[0.0053, 0.0003]","[0.0047, 0.0003]","[0.0086, 0.0007]","[0.0032, 0.0001]","[0.0125, 0.0014]","[0.0347, 0.0024]","[0.0433, 0.0027]","[0.0509, 0.0029]","[0.0243, 0.002]","[0.0844, 0.0037]"
MMP,Cosine,0,32,0.2,300,10,5,1e-05,0.0001,1,,60,1.0,,"[0.0371, 0.0019]","[0.0064, 0.0004]","[0.0055, 0.0003]","[0.0049, 0.0003]","[0.0085, 0.0007]","[0.0033, 0.0001]","[0.0132, 0.0014]","[0.0356, 0.0025]","[0.045, 0.0028]","[0.0527, 0.003]","[0.0242, 0.002]","[0.0876, 0.0038]"
